"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.57951846897E+004, -9.84418095221E+000, +0.00000000000E+000
+1.58800780738E+004, -9.84382290437E+000, +0.00000000000E+000
+1.59649714578E+004, -9.84327652803E+000, +0.00000000000E+000
+1.60498648419E+004, -9.84357494313E+000, +0.00000000000E+000
+1.61347582259E+004, -9.84375197060E+000, +0.00000000000E+000
+1.62196516100E+004, -9.84357475021E+000, +0.00000000000E+000
+1.63045449941E+004, -9.84365399315E+000, +0.00000000000E+000
+1.63894383781E+004, -9.84359884610E+000, +0.00000000000E+000
+1.64743317622E+004, -9.84371284833E+000, +0.00000000000E+000
+1.65592251463E+004, -9.84399474170E+000, +0.00000000000E+000
+1.66441185303E+004, -9.84344453666E+000, +0.00000000000E+000
+1.67290119144E+004, -9.84403402952E+000, +0.00000000000E+000
+1.68139052984E+004, -9.84416672317E+000, +0.00000000000E+000
+1.68987986825E+004, -9.84346503130E+000, +0.00000000000E+000
+1.69836920666E+004, -9.84420874840E+000, +0.00000000000E+000
+1.70829270686E+004, -9.84429198548E+000, +0.00000000000E+000
+1.72002453412E+004, -9.84417015477E+000, +0.00000000000E+000
+1.73175636138E+004, -9.84430916874E+000, +0.00000000000E+000
+1.74348818864E+004, -9.84404547197E+000, +0.00000000000E+000
+1.75522001589E+004, -9.84403969025E+000, +0.00000000000E+000
+1.76695184315E+004, -9.84433649625E+000, +0.00000000000E+000
+1.77868367041E+004, -9.84425895774E+000, +0.00000000000E+000
+1.79041549767E+004, -9.84400231033E+000, +0.00000000000E+000
+1.80214732493E+004, -9.84401065675E+000, +0.00000000000E+000
+1.81387915219E+004, -9.84427632358E+000, +0.00000000000E+000
+1.82561097945E+004, -9.84421459950E+000, +0.00000000000E+000
+1.83734280670E+004, -9.84429938767E+000, +0.00000000000E+000
+1.84907463396E+004, -9.84478024042E+000, +0.00000000000E+000
+1.86080646122E+004, -9.84427697571E+000, +0.00000000000E+000
