(30.0, 0.755279541)
(30.12, 0.257270813)
(30.24, 0.6202926636)
(30.36, 1.091285706)
(30.48, 1.47441864)
(30.6, 0.8660964966)
(30.72, 0.7022857666)
(30.84, 0.6165008545)
(30.96, 0.3979644775)
(31.08, 0.5909805298)
(31.2, 0.002075195312)
(31.32, 0.176651001)
(31.44, 1.00668335)
(31.56, 0.8597717285)
(31.68, 0.3701248169)
(31.8, 0.7451324463)
(31.92, 1.669204712)
(32.04, -0.2058258057)
(32.16, -0.02531433105)
(32.28, 0.3868408203)
(32.4, -0.08977508545)
(32.52, 1.112823486)
(32.64, -0.01248168945)
(32.76, 1.711845398)
(32.88, 1.778030396)
(33.0, 0.1067810059)
(33.12, 0.5757369995)
(33.24, 1.703720093)
(33.36, 0.2374649048)
(33.48, 0.2978591919)
(33.6, 0.8508071899)
(33.72, 0.6018447876)
(33.84, 0.9536437988)
(33.96, 1.038764954)
(34.08, 1.138389587)
(34.2, 1.05166626)
(34.32, 0.2939224243)
(34.44, 0.8913497925)
(34.56, 0.410194397)
(34.68, -0.189743042)
(34.8, 0.2119445801)
(34.92, 0.9625015259)
(35.04, 1.011863708)
(35.16, 0.7381820679)
(35.28, 1.120498657)
(35.4, 0.9588546753)
(35.519999999999996, 1.968513489)
(35.64, 0.7914886475)
(35.76, 0.6543731689)
(35.88, 1.416755676)
(36.0, 0.6419448853)
(36.12, 0.8555526733)
(36.24, 0.4007492065)
(36.36, 0.4561538696)
(36.48, 0.4284973145)
(36.6, 0.06816864014)
(36.72, 1.014450073)
(36.84, 0.1199951172)
(36.96, 0.5090179443)
(37.08, 0.3051681519)
(37.2, 1.167442322)
(37.32, 0.517250061)
(37.44, 0.8739929199)
(37.56, 0.5855407715)
(37.68, 0.6435699463)
(37.8, 0.612159729)
(37.92, 0.01196289062)
(38.04, 1.475891113)
(38.16, 0.8164291382)
(38.28, 0.9421615601)
(38.4, -0.0299911499)
(38.519999999999996, 1.120498657)
(38.64, 1.181175232)
(38.76, 0.9989013672)
(38.879999999999995, 0.6996002197)
(39.0, 0.9520797729)
(39.12, 0.6392440796)
(39.24, 1.999549866)
(39.36, 0.5544662476)
(39.480000000000004, 0.8492202759)
(39.6, -0.01364898682)
(39.72, 0.6192092896)
(39.84, 0.1755065918)
(39.96, 0.04271697998)
(40.08, 0.1314697266)
(40.2, 1.26209259)
(40.32, 0.3315429687)
(40.44, 0.4820785522)
(40.56, 0.5227355957)
(40.68, 0.450630188)
(40.8, 1.141960144)
(40.92, 0.4268341064)
(41.04, 0.5117645264)
(41.16, 0.8808364868)
(41.28, 0.3091049194)
(41.4, 0.7049713135)
(41.519999999999996, 2.002792358)
(41.64, 0.3259429932)
(41.76, 0.3979644775)
(41.879999999999995, 0.4024124146)
(42.0, 0.6592330933)
(42.12, 0.6175842285)
(42.24, 0.7622146606)
(42.36, 1.25050354)
(42.480000000000004, 1.122032166)
(42.6, 0.4517364502)
(42.72, 0.612159729)
(42.84, 1.34425354)
(42.96, 0.1869125366)
(43.08, 0.5051727295)
(43.2, 0.3868408203)
(43.32, 0.1908950806)
(43.44, 0.6165008545)
(43.56, -0.04167938232)
(43.68, 1.650932312)
(43.8, 0.4174041748)
(43.92, 1.234359741)
(44.04, 1.35521698)
(44.16, 1.295753479)
(44.28, 0.927520752)
(44.4, 0.3634262085)
(44.519999999999996, 0.3074188232)
(44.64, 1.192848206)
(44.76, 0.08432769775)
(44.879999999999995, 1.955513)
(45.0, 1.733329773)
(45.12, 0.4323730469)
(45.24, 0.4079742432)
(45.36, 1.949935913)
(45.48, 0.318649292)
(45.6, 0.1755065918)
(45.72, 1.078437805)
(45.84, 1.054244995)
(45.96, 1.551200867)
(46.08, 0.1926040649)
(46.2, 1.604110718)
(46.32, 0.5839080811)
(46.44, 0.9588546753)
(46.56, 0.1709442139)
(46.68, 0.7659454346)
