"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.47764640809E+004, -1.95129779681E+001, +0.00000000000E+000
+1.48613574650E+004, -1.95133647718E+001, +0.00000000000E+000
+1.49462508491E+004, -1.95129480164E+001, +0.00000000000E+000
+1.50311442331E+004, -1.95129866277E+001, +0.00000000000E+000
+1.51160376172E+004, -1.95123480281E+001, +0.00000000000E+000
+1.52009310013E+004, -1.95137931662E+001, +0.00000000000E+000
+1.52858243853E+004, -1.95121879816E+001, +0.00000000000E+000
+1.53707177694E+004, -1.95123450570E+001, +0.00000000000E+000
+1.54556111534E+004, -1.95121028948E+001, +0.00000000000E+000
+1.55405045375E+004, -1.95118032696E+001, +0.00000000000E+000
+1.56253979216E+004, -1.95138323052E+001, +0.00000000000E+000
+1.57102913056E+004, -1.95143656131E+001, +0.00000000000E+000
+1.57951846897E+004, -1.95145873084E+001, +0.00000000000E+000
+1.58800780738E+004, -1.95116043240E+001, +0.00000000000E+000
+1.59649714578E+004, -1.95139967937E+001, +0.00000000000E+000
+1.60498648419E+004, -1.95126835953E+001, +0.00000000000E+000
+1.61347582259E+004, -1.95131084338E+001, +0.00000000000E+000
+1.62196516100E+004, -1.95143583321E+001, +0.00000000000E+000
+1.63045449941E+004, -1.95143806180E+001, +0.00000000000E+000
+1.63894383781E+004, -1.95130881053E+001, +0.00000000000E+000
+1.64743317622E+004, -1.95144256820E+001, +0.00000000000E+000
+1.65592251463E+004, -1.95155104166E+001, +0.00000000000E+000
+1.66441185303E+004, -1.95152287179E+001, +0.00000000000E+000
+1.67290119144E+004, -1.95144305250E+001, +0.00000000000E+000
+1.68139052984E+004, -1.95151981556E+001, +0.00000000000E+000
+1.68987986825E+004, -1.95167938949E+001, +0.00000000000E+000
+1.69836920666E+004, -1.95162479769E+001, +0.00000000000E+000
+1.70829270686E+004, -1.95158377232E+001, +0.00000000000E+000
+1.72002453412E+004, -1.95148468780E+001, +0.00000000000E+000
+1.73175636138E+004, -1.95164976183E+001, +0.00000000000E+000
+1.74348818864E+004, -1.95176176205E+001, +0.00000000000E+000
+1.75522001589E+004, -1.95165780988E+001, +0.00000000000E+000
+1.76695184315E+004, -1.95176803268E+001, +0.00000000000E+000
+1.77868367041E+004, -1.95179563507E+001, +0.00000000000E+000
+1.79041549767E+004, -1.95198984022E+001, +0.00000000000E+000
+1.80214732493E+004, -1.95191115570E+001, +0.00000000000E+000
+1.81387915219E+004, -1.95194139046E+001, +0.00000000000E+000
+1.82561097945E+004, -1.95198232802E+001, +0.00000000000E+000
+1.83734280670E+004, -1.95204844715E+001, +0.00000000000E+000
+1.84907463396E+004, -1.95221374605E+001, +0.00000000000E+000
+1.86080646122E+004, -1.95222067336E+001, +0.00000000000E+000
+1.87253828848E+004, -1.95227523360E+001, +0.00000000000E+000
+1.88427011574E+004, -1.95231151711E+001, +0.00000000000E+000
+1.89600194300E+004, -1.95235227942E+001, +0.00000000000E+000
+1.90773377026E+004, -1.95232412219E+001, +0.00000000000E+000
+1.91946559751E+004, -1.95258510219E+001, +0.00000000000E+000
+1.93119742477E+004, -1.95250668847E+001, +0.00000000000E+000
+1.94292925203E+004, -1.95261778315E+001, +0.00000000000E+000
+1.95466107929E+004, -1.95276316272E+001, +0.00000000000E+000
+1.96639290655E+004, -1.95285089431E+001, +0.00000000000E+000
+1.97812473381E+004, -1.95282856502E+001, +0.00000000000E+000
+1.98985656106E+004, -1.95306978642E+001, +0.00000000000E+000
