"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.57951846897E+004, +6.91485149392E+000, +0.00000000000E+000
+1.58800780738E+004, +6.92856837013E+000, +0.00000000000E+000
+1.59649714578E+004, +6.94329041735E+000, +0.00000000000E+000
+1.60498648419E+004, +6.95856664682E+000, +0.00000000000E+000
+1.61347582259E+004, +6.97336891136E+000, +0.00000000000E+000
+1.62196516100E+004, +6.98907761765E+000, +0.00000000000E+000
+1.63045449941E+004, +7.00400624152E+000, +0.00000000000E+000
+1.63894383781E+004, +7.02055409990E+000, +0.00000000000E+000
+1.64743317622E+004, +7.03537546762E+000, +0.00000000000E+000
+1.65592251463E+004, +7.04940956119E+000, +0.00000000000E+000
+1.66441185303E+004, +7.06511236672E+000, +0.00000000000E+000
+1.67290119144E+004, +7.08186333737E+000, +0.00000000000E+000
+1.68139052984E+004, +7.09601363850E+000, +0.00000000000E+000
+1.68987986825E+004, +7.11285745051E+000, +0.00000000000E+000
+1.69836920666E+004, +7.12811182962E+000, +0.00000000000E+000
+1.70829270686E+004, +7.14625287344E+000, +0.00000000000E+000
+1.72002453412E+004, +7.16916286902E+000, +0.00000000000E+000
+1.73175636138E+004, +7.19186151329E+000, +0.00000000000E+000
+1.74348818864E+004, +7.21485048076E+000, +0.00000000000E+000
+1.75522001589E+004, +7.23699720411E+000, +0.00000000000E+000
+1.76695184315E+004, +7.25800190646E+000, +0.00000000000E+000
+1.77868367041E+004, +7.28327094808E+000, +0.00000000000E+000
+1.79041549767E+004, +7.30501889417E+000, +0.00000000000E+000
+1.80214732493E+004, +7.32886888440E+000, +0.00000000000E+000
+1.81387915219E+004, +7.35073681384E+000, +0.00000000000E+000
+1.82561097945E+004, +7.37469272600E+000, +0.00000000000E+000
+1.83734280670E+004, +7.39821931895E+000, +0.00000000000E+000
+1.84907463396E+004, +7.42283432274E+000, +0.00000000000E+000
+1.86080646122E+004, +7.44603553587E+000, +0.00000000000E+000
+1.87253828848E+004, +7.47030660679E+000, +0.00000000000E+000
+1.88427011574E+004, +7.49383574936E+000, +0.00000000000E+000
+1.89600194300E+004, +7.51863630142E+000, +0.00000000000E+000
+1.90773377026E+004, +7.54346042696E+000, +0.00000000000E+000
+1.91946559751E+004, +7.56727666706E+000, +0.00000000000E+000
+1.93119742477E+004, +7.59249350133E+000, +0.00000000000E+000
+1.94292925203E+004, +7.61715249543E+000, +0.00000000000E+000
+1.95466107929E+004, +7.64227468393E+000, +0.00000000000E+000
+1.96639290655E+004, +7.66544527079E+000, +0.00000000000E+000
+1.97812473381E+004, +7.69244743943E+000, +0.00000000000E+000
+1.98985656106E+004, +7.71719130131E+000, +0.00000000000E+000
+2.00158838832E+004, +7.74153591574E+000, +0.00000000000E+000
+2.01332021558E+004, +7.76740381118E+000, +0.00000000000E+000
+2.02505204284E+004, +7.79205029788E+000, +0.00000000000E+000
+2.03678387010E+004, +7.81758286066E+000, +0.00000000000E+000
+2.04851569736E+004, +7.84314298390E+000, +0.00000000000E+000
+2.06024752462E+004, +7.87025466791E+000, +0.00000000000E+000
+2.07197935187E+004, +7.89441907019E+000, +0.00000000000E+000
+2.08371117913E+004, +7.92054903901E+000, +0.00000000000E+000
+2.09544300639E+004, +7.94646270554E+000, +0.00000000000E+000
+2.10717483365E+004, +7.97210455256E+000, +0.00000000000E+000
+2.11890666091E+004, +7.99819162574E+000, +0.00000000000E+000
+2.13063848817E+004, +8.02453510630E+000, +0.00000000000E+000
+2.14237031543E+004, +8.05014605834E+000, +0.00000000000E+000
+2.15410214268E+004, +8.07762653481E+000, +0.00000000000E+000
+2.16583396994E+004, +8.10421511242E+000, +0.00000000000E+000
+2.17756579720E+004, +8.13002292220E+000, +0.00000000000E+000
+2.18929762446E+004, +8.15655764020E+000, +0.00000000000E+000
+2.20102945172E+004, +8.18265373355E+000, +0.00000000000E+000
+2.21276127898E+004, +8.20893610303E+000, +0.00000000000E+000
+2.22449310624E+004, +8.23611017416E+000, +0.00000000000E+000
+2.23622493349E+004, +8.26285446615E+000, +0.00000000000E+000
+2.24795676075E+004, +8.28846552478E+000, +0.00000000000E+000
+2.25968858801E+004, +8.31633017912E+000, +0.00000000000E+000
+2.27142041527E+004, +8.34314117558E+000, +0.00000000000E+000
+2.28315224253E+004, +8.36968575014E+000, +0.00000000000E+000
+2.29488406979E+004, +8.39756016510E+000, +0.00000000000E+000
+2.30661589705E+004, +8.42383598708E+000, +0.00000000000E+000
+2.31834772430E+004, +8.45029663849E+000, +0.00000000000E+000
+2.33007955156E+004, +8.47865521846E+000, +0.00000000000E+000
+2.34181137882E+004, +8.50499283422E+000, +0.00000000000E+000
+2.35354320608E+004, +8.53243621958E+000, +0.00000000000E+000
+2.36729486054E+004, +8.56464076262E+000, +0.00000000000E+000
+2.38350265062E+004, +8.60309415077E+000, +0.00000000000E+000
+2.39971044070E+004, +8.63997945876E+000, +0.00000000000E+000
+2.41591823078E+004, +8.67958687127E+000, +0.00000000000E+000
+2.43212602086E+004, +8.71733085619E+000, +0.00000000000E+000
+2.44833381094E+004, +8.75495790119E+000, +0.00000000000E+000
+2.46454160102E+004, +8.79349905481E+000, +0.00000000000E+000
+2.48074939109E+004, +8.83123568101E+000, +0.00000000000E+000
+2.49695718117E+004, +8.86998338045E+000, +0.00000000000E+000
+2.51316497125E+004, +8.90877811338E+000, +0.00000000000E+000
+2.52937276133E+004, +8.94804173410E+000, +0.00000000000E+000
+2.54558055141E+004, +8.98591149960E+000, +0.00000000000E+000
+2.56178834149E+004, +9.02509028596E+000, +0.00000000000E+000
+2.57799613157E+004, +9.06377479361E+000, +0.00000000000E+000
+2.59420392164E+004, +9.10235954408E+000, +0.00000000000E+000
+2.61041171172E+004, +9.14233876802E+000, +0.00000000000E+000
+2.62661950180E+004, +9.18034662109E+000, +0.00000000000E+000
+2.64282729188E+004, +9.21988225172E+000, +0.00000000000E+000
+2.65903508196E+004, +9.25961406534E+000, +0.00000000000E+000
+2.67524287204E+004, +9.29748700765E+000, +0.00000000000E+000
+2.69145066212E+004, +9.33709663724E+000, +0.00000000000E+000
+2.70765845220E+004, +9.37541495624E+000, +0.00000000000E+000
+2.72386624227E+004, +9.41580044437E+000, +0.00000000000E+000
+2.74007403235E+004, +9.45523008939E+000, +0.00000000000E+000
+2.75628182243E+004, +9.49397641188E+000, +0.00000000000E+000
+2.77248961251E+004, +9.53400965674E+000, +0.00000000000E+000
+2.78869740259E+004, +9.57412778852E+000, +0.00000000000E+000
+2.80490519267E+004, +9.61369711526E+000, +0.00000000000E+000
+2.82111298275E+004, +9.65370761907E+000, +0.00000000000E+000
+2.83732077282E+004, +9.69253693619E+000, +0.00000000000E+000
+2.85352856290E+004, +9.73230297698E+000, +0.00000000000E+000
+2.86973635298E+004, +9.77122544963E+000, +0.00000000000E+000
+2.88594414306E+004, +9.81129255234E+000, +0.00000000000E+000
+2.90215193314E+004, +9.85162534962E+000, +0.00000000000E+000
+2.91835972322E+004, +9.89081236360E+000, +0.00000000000E+000
+2.93456751330E+004, +9.93056040416E+000, +0.00000000000E+000
+2.95077530338E+004, +9.97120331226E+000, +0.00000000000E+000
+2.96698309345E+004, +1.00102477514E+001, +0.00000000000E+000
+2.98319088353E+004, +1.00512805171E+001, +0.00000000000E+000
+2.99939867361E+004, +1.00908805539E+001, +0.00000000000E+000
+3.01560646369E+004, +1.01309033759E+001, +0.00000000000E+000
+3.03181425377E+004, +1.01700051817E+001, +0.00000000000E+000
+3.04802204385E+004, +1.02115550337E+001, +0.00000000000E+000
+3.06422983393E+004, +1.02524845946E+001, +0.00000000000E+000
+3.08043762400E+004, +1.02912598007E+001, +0.00000000000E+000
+3.09664541408E+004, +1.03326974821E+001, +0.00000000000E+000
+3.11285320416E+004, +1.03719657194E+001, +0.00000000000E+000
+3.12906099424E+004, +1.04124310215E+001, +0.00000000000E+000
+3.14526878432E+004, +1.04524874891E+001, +0.00000000000E+000
+3.16147657440E+004, +1.04927369544E+001, +0.00000000000E+000
+3.17768436448E+004, +1.05327425318E+001, +0.00000000000E+000
+3.19389215456E+004, +1.05737220416E+001, +0.00000000000E+000
+3.21009994463E+004, +1.06136223157E+001, +0.00000000000E+000
+3.22630773471E+004, +1.06550027191E+001, +0.00000000000E+000
+3.24251552479E+004, +1.06947860710E+001, +0.00000000000E+000
+3.26146140731E+004, +1.07411860893E+001, +0.00000000000E+000
+3.28379114862E+004, +1.07974869056E+001, +0.00000000000E+000
+3.30612088993E+004, +1.08524245666E+001, +0.00000000000E+000
+3.32845063124E+004, +1.09101382850E+001, +0.00000000000E+000
+3.35078037255E+004, +1.09648476124E+001, +0.00000000000E+000
