(30.0, 0.2108078003)
(30.12, 0.817489624)
(30.24, 0.9973449707)
(30.36, 1.2029953)
(30.48, 0.5254745483)
(30.6, 0.450630188)
(30.72, 0.3102264404)
(30.84, 0.3147201538)
(30.96, 1.154708862)
(31.08, -0.03875732422)
(31.2, 0.3343505859)
(31.32, 0.4257278442)
(31.44, 0.4351425171)
(31.56, 1.4429245)
(31.68, 1.322784424)
(31.8, 1.24697876)
(31.92, 0.4903335571)
(32.04, 0.8296661377)
(32.16, 0.2533111572)
(32.28, 0.8021087646)
(32.4, 0.6202926636)
(32.52, 0.8834686279)
(32.64, 0.2781524658)
(32.76, 0.7038955688)
(32.88, 0.199432373)
(33.0, 0.8413009644)
(33.12, 1.140937805)
(33.24, -0.1731033325)
(33.36, -0.2135772705)
(33.48, 0.2136459351)
(33.6, 0.8845214844)
(33.72, 0.1412124634)
(33.84, 0.09412384033)
(33.96, 0.3062973022)
(34.08, -0.01248168945)
(34.2, 0.176651001)
(34.32, 0.1538009644)
(34.44, 0.7194519043)
(34.56, 0.4129714966)
(34.68, 0.876625061)
(34.8, 1.012901306)
(34.92, 1.019630432)
(35.04, 0.1142501831)
(35.16, 0.1412124634)
(35.28, -0.07215118408)
(35.4, 0.4323730469)
(35.519999999999996, 0.5500946045)
(35.64, 0.2781524658)
(35.76, 0.4489746094)
(35.88, 1.014450073)
(36.0, 2.228637695)
(36.12, 0.7328338623)
(36.24, -0.02239990234)
(36.36, 0.3494567871)
(36.48, 0.2062606812)
(36.6, 0.3158416748)
(36.72, 0.1142501831)
(36.84, 0.5188980103)
(36.96, -0.3119735718)
(37.08, 0.6094512939)
(37.2, 1.918716431)
(37.32, -0.5350570679)
(37.44, 0.5188980103)
(37.56, 0.08836364746)
(37.68, 0.328742981)
(37.8, 0.5828170776)
(37.92, 1.689353943)
(38.04, -0.170135498)
(38.16, -0.06745147705)
(38.28, 0.5621032715)
(38.4, 0.8729400635)
(38.519999999999996, 0.4903335571)
(38.64, 1.055274963)
(38.76, 0.5161514282)
(38.879999999999995, 0.4969329834)
(39.0, -0.09565734863)
(39.12, 0.3745803833)
(39.24, 0.2922363281)
(39.36, 0.1211471558)
(39.480000000000004, 0.2696914673)
(39.6, 0.5975036621)
(39.72, -0.207611084)
(39.84, 0.1010284424)
(39.96, 0.06701660156)
(40.08, 0.5079193115)
(40.2, 1.068153381)
(40.32, -0.1541213989)
(40.44, -0.3913803101)
(40.56, 0.6554489136)
(40.68, -0.2326889038)
(40.8, -0.09095001221)
(40.92, 0.5254745483)
(41.04, 1.227790833)
(41.16, 0.2487869263)
(41.28, -0.3676681519)
(41.4, 0.2894210815)
(41.519999999999996, 0.8529129028)
(41.64, 0.1595230103)
(41.76, 0.8687286377)
(41.879999999999995, 0.2516174316)
