"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+9.00000000000E+003, -4.59052347356E-003, +0.00000000000E+000
+9.06161890229E+003, -4.21688113869E-003, +0.00000000000E+000
+9.12323780458E+003, -3.83329466111E-003, +0.00000000000E+000
+9.18485670688E+003, -4.04335528214E-003, +0.00000000000E+000
+9.24647560917E+003, -4.96728623993E-003, +0.00000000000E+000
+9.30809451146E+003, -5.11444022647E-003, +0.00000000000E+000
+9.36971341375E+003, -5.23828457379E-003, +0.00000000000E+000
+9.43133231604E+003, -4.47825892151E-003, +0.00000000000E+000
+9.49295121833E+003, -3.42328253743E-003, +0.00000000000E+000
+9.55457012063E+003, -4.56968235696E-003, +0.00000000000E+000
+9.61618902292E+003, -4.73869615376E-003, +0.00000000000E+000
+9.67780792521E+003, -3.97502307380E-003, +0.00000000000E+000
+9.73942682750E+003, -5.18921873606E-003, +0.00000000000E+000
+9.80104572979E+003, -4.29348940458E-003, +0.00000000000E+000
+9.86266463209E+003, -2.89273448530E-003, +0.00000000000E+000
+9.92428353438E+003, -5.41030573412E-003, +0.00000000000E+000
+9.98590243667E+003, -5.09632432878E-003, +0.00000000000E+000
+1.00475213390E+004, -4.58874943012E-003, +0.00000000000E+000
+1.01091402413E+004, -4.16026613650E-003, +0.00000000000E+000
+1.01707591435E+004, -4.62688048397E-003, +0.00000000000E+000
+1.02323780458E+004, -5.34412038005E-003, +0.00000000000E+000
+1.02939969481E+004, -4.06231407168E-003, +0.00000000000E+000
+1.03556158504E+004, -5.03328034713E-003, +0.00000000000E+000
+1.04172347527E+004, -3.98590232650E-003, +0.00000000000E+000
+1.04788536550E+004, -5.48430218232E-003, +0.00000000000E+000
+1.05404725573E+004, -4.90306908735E-003, +0.00000000000E+000
+1.06020914596E+004, -4.80676506482E-003, +0.00000000000E+000
+1.06637103619E+004, -4.82472796123E-003, +0.00000000000E+000
+1.07253292642E+004, -4.46626015765E-003, +0.00000000000E+000
+1.07869481665E+004, -4.23756001268E-003, +0.00000000000E+000
+1.08485670688E+004, -5.45556992791E-003, +0.00000000000E+000
+1.09101859710E+004, -4.45000024194E-003, +0.00000000000E+000
+1.09718048733E+004, -4.43515876952E-003, +0.00000000000E+000
+1.10334237756E+004, -4.50073911840E-003, +0.00000000000E+000
+1.10950426779E+004, -5.72342139956E-003, +0.00000000000E+000
+1.11566615802E+004, -3.96388799915E-003, +0.00000000000E+000
+1.12182804825E+004, -3.20626738131E-003, +0.00000000000E+000
+1.12798993848E+004, -3.40131289920E-003, +0.00000000000E+000
+1.13415182871E+004, -4.20528105769E-003, +0.00000000000E+000
+1.14031371894E+004, -3.24460065577E-003, +0.00000000000E+000
+1.14647560917E+004, -4.80514005485E-003, +0.00000000000E+000
+1.15263749940E+004, -3.27330465114E-003, +0.00000000000E+000
+1.15879938963E+004, -4.53246075085E-003, +0.00000000000E+000
+1.16496127986E+004, -4.02320513807E-003, +0.00000000000E+000
+1.17112317008E+004, -5.54123276750E-003, +0.00000000000E+000
+1.17728506031E+004, -4.52084858075E-003, +0.00000000000E+000
+1.18344695054E+004, -4.45162611508E-003, +0.00000000000E+000
+1.18960884077E+004, -6.20386440292E-003, +0.00000000000E+000
+1.19577073100E+004, -4.53100385042E-003, +0.00000000000E+000
+1.20193262123E+004, -3.98622814722E-003, +0.00000000000E+000
+1.20809451146E+004, -4.99407355532E-003, +0.00000000000E+000
+1.21425640169E+004, -4.62063241009E-003, +0.00000000000E+000
+1.22041829192E+004, -4.96730225551E-003, +0.00000000000E+000
+1.22658018215E+004, -5.30917030107E-003, +0.00000000000E+000
+1.23274207238E+004, -4.40177895520E-003, +0.00000000000E+000
+1.23994493272E+004, -5.06492328444E-003, +0.00000000000E+000
+1.24843427112E+004, -5.58392673733E-003, +0.00000000000E+000
+1.25692360953E+004, -4.35383107051E-003, +0.00000000000E+000
+1.26541294794E+004, -3.74577530809E-003, +0.00000000000E+000
+1.27390228634E+004, -4.88992253764E-003, +0.00000000000E+000
+1.28239162475E+004, -5.41222323457E-003, +0.00000000000E+000
+1.29088096316E+004, -4.31121445202E-003, +0.00000000000E+000
+1.29937030156E+004, -4.02983784247E-003, +0.00000000000E+000
+1.30785963997E+004, -4.12290162339E-003, +0.00000000000E+000
+1.31634897837E+004, -5.50278960353E-003, +0.00000000000E+000
+1.32483831678E+004, -5.61050721508E-003, +0.00000000000E+000
+1.33332765519E+004, -5.05668297971E-003, +0.00000000000E+000
+1.34181699359E+004, -5.39421211932E-003, +0.00000000000E+000
+1.35030633200E+004, -4.85182274766E-003, +0.00000000000E+000
+1.35879567041E+004, -5.22181423946E-003, +0.00000000000E+000
+1.36728500881E+004, -4.37751679908E-003, +0.00000000000E+000
+1.37577434722E+004, -5.16246836835E-003, +0.00000000000E+000
+1.38426368563E+004, -3.70348689722E-003, +0.00000000000E+000
+1.39275302403E+004, -5.81120620721E-003, +0.00000000000E+000
